"Date_evenement";"Hopital_Clinique_Deces2020";"Maison_retraite_Deces2020";"Domicile_Deces2020";"Autre_Deces2020";"Total_Deces2020";"Hopital_Clinique_Deces2019";"Maison_retraite_Deces2019";"Domicile_Deces2019";"Autre_Deces2019";"Total_Deces2019";"Hopital_Clinique_Deces2018";"Maison_retraite_Deces2018";"Domicile_Deces2018";"Autre_Deces2018";"Total_Deces2018";"Zone";"LibelleZone"
"16/08/2020";206492;54696;100468;45985;407641;205122;46765;91123;43671;386681;207618;48959;93375;38855;388807;"FE";"France"
"17/08/2020";207283;54898;100817;46133;409131;205912;46959;91488;43834;388193;208413;49130;93730;39031;390304;"FE";"France"
"18/08/2020";208122;55088;101211;46306;410727;206638;47153;91832;44031;389654;209199;49292;94004;39200;391695;"FE";"France"
"19/08/2020";208928;55291;101572;46473;412264;207433;47297;92184;44201;391115;209909;49464;94342;39378;393093;"FE";"France"
"20/08/2020";209771;55488;101919;46664;413842;208241;47499;92501;44376;392617;210701;49647;94727;39567;394642;"FE";"France"
"21/08/2020";210590;55680;102293;46841;415404;209045;47676;92883;44537;394141;211588;49832;95096;39700;396216;"FE";"France"
"22/08/2020";211373;55880;102647;47026;416926;209817;47824;93196;44711;395548;212458;50022;95438;39871;397789;"FE";"France"
"23/08/2020";212123;56073;103009;47201;418406;210670;48002;93548;44914;397134;213291;50247;95782;40037;399357;"FE";"France"
"24/08/2020";212931;56277;103421;47364;419993;211481;48173;93947;45103;398704;214071;50429;96155;40197;400852;"FE";"France"
"25/08/2020";213700;56439;103814;47549;421502;212275;48365;94330;45300;400270;214879;50597;96486;40355;402317;"FE";"France"
"26/08/2020";214554;56652;104186;47716;423108;213107;48572;94682;45491;401852;215617;50775;96828;40492;403712;"FE";"France"
"27/08/2020";215391;56841;104570;47875;424677;213983;48800;95049;45673;403505;216419;50935;97196;40680;405230;"FE";"France"
"28/08/2020";216238;57055;104952;48047;426292;214860;49000;95401;45885;405146;217256;51117;97569;40870;406812;"FE";"France"
"29/08/2020";217079;57237;105257;48215;427788;215754;49204;95730;46045;406733;218096;51295;97944;41050;408385;"FE";"France"
"30/08/2020";217794;57417;105596;48397;429204;216623;49399;96094;46249;408365;218858;51457;98299;41193;409807;"FE";"France"
"31/08/2020";218615;57567;105963;48573;430718;217409;49578;96431;46422;409840;219672;51634;98626;41345;411277;"FE";"France"
"01/09/2020";219410;57752;106360;48734;432256;218147;49785;96802;46616;411350;220432;51810;98950;41484;412676;"FE";"France"
"02/09/2020";220218;57931;106720;48900;433769;218921;49969;97145;46791;412826;221191;51987;99297;41609;414084;"FE";"France"
"03/09/2020";221055;58119;107093;49056;435323;219736;50149;97506;46923;414314;221976;52165;99659;41762;415562;"FE";"France"
"04/09/2020";221940;58316;107503;49239;436998;220516;50358;97852;47114;415840;222823;52351;100022;41926;417122;"FE";"France"
"05/09/2020";222781;58512;107884;49448;438625;221264;50516;98192;47284;417256;223680;52554;100396;42103;418733;"FE";"France"
"06/09/2020";223558;58682;108268;49609;440117;222060;50675;98540;47454;418729;224497;52730;100775;42291;420293;"FE";"France"
"07/09/2020";224366;58898;108669;49781;441714;222875;50860;98881;47630;420246;225340;52933;101150;42476;421899;"FE";"France"
"08/09/2020";225254;59094;109047;49940;443335;223660;51024;99213;47818;421715;226094;53110;101468;42642;423314;"FE";"France"
"09/09/2020";226121;59317;109452;50109;444999;224448;51203;99574;48012;423237;226912;53290;101813;42825;424840;"FE";"France"
"10/09/2020";226974;59531;109849;50290;446644;225239;51403;99939;48181;424762;227736;53477;102168;43025;426406;"FE";"France"
"11/09/2020";227872;59752;110212;50469;448305;226059;51575;100303;48376;426313;228560;53658;102542;43205;427965;"FE";"France"
"12/09/2020";228683;59948;110617;50686;449934;226857;51781;100675;48544;427857;229410;53845;102900;43377;429532;"FE";"France"
"13/09/2020";229574;60160;111016;50857;451607;227723;51973;101028;48726;429450;230257;54031;103294;43549;431131;"FE";"France"
"14/09/2020";230455;60390;111422;51054;453321;228517;52174;101385;48894;430970;231077;54223;103632;43730;432662;"FE";"France"
"15/09/2020";231414;60635;111866;51233;455148;229301;52392;101750;49072;432515;231887;54422;103982;43898;434189;"FE";"France"
"16/09/2020";232290;60859;112306;51407;456862;230153;52589;102124;49268;434134;232644;54598;104335;44050;435627;"FE";"France"
"17/09/2020";233127;61101;112727;51574;458529;230999;52800;102492;49456;435747;233454;54779;104741;44215;437189;"FE";"France"
"18/09/2020";234079;61331;113131;51746;460287;231782;52970;102839;49635;437226;234255;54986;105094;44374;438709;"FE";"France"
"19/09/2020";234994;61578;113543;51940;462055;232602;53157;103197;49818;438774;235061;55175;105491;44544;440271;"FE";"France"
"20/09/2020";235824;61806;113988;52108;463726;233476;53368;103554;50024;440422;235924;55380;105858;44698;441860;"FE";"France"
"21/09/2020";236668;62018;114407;52290;465383;234322;53573;103959;50220;442074;236744;55592;106225;44847;443408;"FE";"France"
"22/09/2020";237498;62237;114780;52456;466971;235141;53783;104338;50401;443663;237535;55786;106581;44995;444897;"FE";"France"
"23/09/2020";238333;62418;115200;52596;468547;235937;53984;104703;50566;445190;238338;55996;106921;45148;446403;"FE";"France"
"24/09/2020";239162;62609;115635;52745;470151;236723;54172;105044;50720;446659;239078;56172;107298;45324;447872;"FE";"France"
"25/09/2020";239972;62806;116056;52901;471735;237570;54360;105410;50875;448215;239882;56366;107650;45480;449378;"FE";"France"
"26/09/2020";240771;63003;116461;53080;473315;238387;54583;105778;51077;449825;240656;56540;107995;45640;450831;"FE";"France"
"27/09/2020";241556;63202;116893;53232;474883;239199;54770;106133;51249;451351;241542;56723;108363;45815;452443;"FE";"France"
"28/09/2020";242438;63408;117364;53390;476600;240010;54949;106528;51430;452917;242417;56938;108740;45990;454085;"FE";"France"
"29/09/2020";243322;63632;117798;53553;478305;240803;55137;106892;51613;454445;243219;57159;109092;46169;455639;"FE";"France"
"30/09/2020";244197;63870;118277;53714;480058;241615;55336;107274;51797;456022;244017;57336;109406;46343;457102;"FE";"France"
"01/10/2020";245104;64107;118749;53879;481839;242498;55530;107652;51971;457651;244847;57522;109819;46486;458674;"FE";"France"
"02/10/2020";245969;64341;119246;54030;483586;243383;55702;108030;52144;459259;245682;57723;110193;46653;460251;"FE";"France"
"03/10/2020";246856;64563;119703;54201;485323;244232;55876;108418;52339;460865;246539;57921;110595;46810;461865;"FE";"France"
"04/10/2020";247743;64756;120189;54345;487033;245075;56065;108803;52518;462461;247457;58146;110973;47008;463584;"FE";"France"
"05/10/2020";248614;64989;120622;54504;488729;245925;56244;109177;52699;464045;248355;58355;111334;47185;465229;"FE";"France"
"06/10/2020";249543;65216;121110;54673;490542;246749;56443;109576;52875;465643;249227;58582;111744;47350;466903;"FE";"France"
"07/10/2020";250447;65417;121557;54824;492245;247594;56610;109980;53057;467241;249993;58790;112103;47535;468421;"FE";"France"
"08/10/2020";251306;65641;122047;54992;493986;248442;56804;110383;53236;468865;250757;58984;112493;47707;469941;"FE";"France"
"09/10/2020";252251;65871;122542;55160;495824;249275;57003;110756;53420;470454;251638;59170;112912;47876;471596;"FE";"France"
"10/10/2020";253151;66103;122986;55284;497524;250117;57205;111151;53602;472075;252512;59385;113300;48061;473258;"FE";"France"
"11/10/2020";253973;66327;123429;55423;499152;251064;57402;111503;53771;473740;253379;59611;113713;48241;474944;"FE";"France"
"12/10/2020";254885;66554;123909;55563;500911;251907;57626;111873;53961;475367;254261;59826;114106;48417;476610;"FE";"France"
"13/10/2020";255759;66759;124402;55713;502633;252767;57851;112254;54139;477011;255096;60036;114499;48580;478211;"FE";"France"
"14/10/2020";256645;66972;124876;55866;504359;253599;58045;112679;54358;478681;255942;60265;114869;48741;479817;"FE";"France"
"15/10/2020";257578;67201;125375;56006;506160;254474;58253;113061;54534;480322;256792;60461;115307;48916;481476;"FE";"France"
"16/10/2020";258519;67422;125898;56147;507986;255354;58451;113480;54706;481991;257700;60652;115700;49063;483115;"FE";"France"
"17/10/2020";259454;67663;126422;56298;509837;256225;58632;113830;54897;483584;258581;60842;116063;49224;484710;"FE";"France"
"18/10/2020";260323;67903;126916;56455;511597;257103;58819;114183;55099;485204;259390;61049;116441;49400;486280;"FE";"France"
"19/10/2020";261283;68149;127421;56612;513465;257948;59021;114550;55291;486810;260234;61243;116801;49564;487842;"FE";"France"
"20/10/2020";262301;68401;127955;56755;515412;258758;59227;114940;55510;488435;261047;61428;117157;49724;489356;"FE";"France"
"21/10/2020";263407;68659;128501;56910;517477;259572;59431;115367;55683;490053;261815;61611;117519;49893;490838;"FE";"France"
"22/10/2020";264476;68943;129018;57087;519524;260394;59641;115751;55876;491662;262622;61801;117928;50047;492398;"FE";"France"
"23/10/2020";265498;69235;129557;57248;521538;261319;59824;116143;56045;493331;263490;61993;118327;50226;494036;"FE";"France"
"24/10/2020";266434;69518;130089;57434;523475;262204;60027;116532;56219;494982;264332;62180;118719;50416;495647;"FE";"France"
"25/10/2020";267481;69806;130651;57613;525551;263091;60236;116953;56401;496681;265202;62375;119104;50626;497307;"FE";"France"
"26/10/2020";268469;70052;131198;57786;527505;263936;60467;117312;56597;498312;266040;62568;119474;50801;498883;"FE";"France"
"27/10/2020";269547;70345;131765;57941;529598;264756;60673;117685;56780;499894;266892;62780;119834;50980;500486;"FE";"France"
"28/10/2020";270620;70640;132345;58110;531715;265594;60865;118107;56952;501518;267762;62963;120198;51179;502102;"FE";"France"
"29/10/2020";271712;70968;132898;58304;533882;266441;61085;118479;57123;503128;268625;63180;120561;51334;503700;"FE";"France"
"30/10/2020";272786;71273;133485;58487;536031;267326;61301;118850;57314;504791;269536;63381;121014;51518;505449;"FE";"France"
"31/10/2020";273866;71579;134086;58651;538182;268213;61527;119235;57486;506461;270457;63584;121416;51667;507124;"FE";"France"
"01/11/2020";274992;71899;134698;58832;540421;269120;61721;119642;57682;508165;271280;63783;121799;51856;508718;"FE";"France"
"02/11/2020";276162;72219;135323;59006;542710;270033;61924;120049;57879;509885;272101;63988;122177;52055;510321;"FE";"France"
"03/11/2020";277284;72541;135905;59179;544909;270902;62128;120453;58060;511543;272936;64197;122539;52247;511919;"FE";"France"
"04/11/2020";278392;72890;136499;59337;547118;271816;62306;120871;58268;513261;273785;64414;122915;52426;513540;"FE";"France"
"05/11/2020";279486;73270;137071;59521;549348;272681;62499;121273;58437;514890;274709;64620;123343;52622;515294;"FE";"France"
"06/11/2020";280662;73595;137675;59708;551640;273576;62707;121687;58630;516600;275594;64839;123759;52798;516990;"FE";"France"
"07/11/2020";281807;73947;138329;59894;553977;274476;62896;122115;58842;518329;276506;65037;124175;52985;518703;"FE";"France"
"08/11/2020";282952;74317;138936;60078;556283;275374;63088;122482;59009;519953;277382;65225;124573;53170;520350;"FE";"France"
"09/11/2020";284104;74634;139609;60241;558588;276353;63295;122884;59206;521738;278227;65458;124940;53326;521951;"FE";"France"
"10/11/2020";285226;75005;140199;60405;560835;277231;63484;123260;59394;523369;279146;65658;125304;53519;523627;"FE";"France"
"11/11/2020";286336;75359;140783;60569;563047;278027;63691;123623;59573;524914;279985;65854;125707;53709;525255;"FE";"France"
"12/11/2020";287475;75700;141414;60750;565339;278906;63909;124051;59788;526654;280866;66070;126120;53891;526947;"FE";"France"
"13/11/2020";288640;76048;142017;60926;567631;279795;64134;124480;59980;528389;281804;66290;126520;54080;528694;"FE";"France"
"14/11/2020";289719;76408;142619;61098;569844;280708;64375;124889;60188;530160;282674;66507;126871;54248;530300;"FE";"France"
"15/11/2020";290769;76766;143212;61255;572002;281683;64586;125273;60381;531923;283546;66705;127254;54442;531947;"FE";"France"
"16/11/2020";291900;77120;143830;61428;574278;282613;64793;125655;60585;533646;284397;66907;127617;54611;533532;"FE";"France"
"17/11/2020";293007;77462;144366;61614;576449;283541;65002;126061;60764;535368;285228;67108;128027;54797;535160;"FE";"France"
"18/11/2020";294108;77816;144948;61810;578682;284392;65261;126500;60967;537120;286028;67326;128422;54963;536739;"FE";"France"
"19/11/2020";295241;78182;145517;61986;580926;285340;65486;126892;61176;538894;286846;67516;128861;55132;538355;"FE";"France"
"20/11/2020";296310;78518;146029;62159;583016;286249;65713;127311;61368;540641;287681;67741;129278;55311;540011;"FE";"France"
"21/11/2020";297355;78832;146590;62320;585097;287175;65935;127713;61570;542393;288540;67961;129693;55502;541696;"FE";"France"
"22/11/2020";298419;79153;147162;62502;587236;288143;66151;128165;61797;544256;289394;68170;130074;55683;543321;"FE";"France"
"23/11/2020";299516;79481;147778;62688;589463;289074;66394;128585;62014;546067;290296;68390;130493;55854;545033;"FE";"France"
"24/11/2020";300649;79804;148338;62886;591677;289917;66643;128994;62193;547747;291187;68615;130927;56037;546766;"FE";"France"
"25/11/2020";301722;80111;148895;63077;593805;290841;66875;129409;62402;549527;292071;68812;131350;56220;548453;"FE";"France"
"26/11/2020";302808;80443;149422;63268;595941;291825;67081;129852;62594;551352;292948;69024;131755;56397;550124;"FE";"France"
"27/11/2020";303903;80755;150019;63443;598120;292804;67289;130292;62771;553156;293831;69237;132192;56562;551822;"FE";"France"
"28/11/2020";304901;81100;150551;63619;600171;293701;67490;130702;62971;554864;294764;69420;132612;56737;553533;"FE";"France"
"29/11/2020";305884;81380;151091;63788;602143;294657;67751;131111;63164;556683;295670;69601;133036;56907;555214;"FE";"France"
"30/11/2020";306928;81682;151638;63988;604236;295531;67996;131515;63353;558395;296557;69806;133442;57088;556893;"FE";"France"
"01/12/2020";307999;81968;152174;64177;606318;296359;68215;131871;63571;560016;297459;70018;133830;57305;558612;"FE";"France"
"02/12/2020";309060;82247;152726;64369;608402;297219;68439;132317;63777;561752;298280;70254;134255;57491;560280;"FE";"France"
"03/12/2020";310166;82564;153293;64564;610587;298160;68656;132737;63987;563540;299168;70460;134675;57668;561971;"FE";"France"
"04/12/2020";311238;82870;153846;64748;612702;299091;68865;133129;64200;565285;300074;70682;135077;57824;563657;"FE";"France"
"05/12/2020";312256;83152;154410;64932;614750;300035;69082;133535;64403;567055;300952;70888;135481;58010;565331;"FE";"France"
"06/12/2020";313299;83437;154992;65119;616847;300929;69262;133952;64598;568741;301839;71107;135858;58187;566991;"FE";"France"
"07/12/2020";314331;83709;155510;65313;618863;301859;69468;134375;64813;570515;302710;71324;136261;58362;568657;"FE";"France"
"08/12/2020";315405;84011;156060;65488;620964;302739;69693;134776;65001;572209;303603;71532;136634;58530;570299;"FE";"France"
"09/12/2020";316490;84309;156635;65657;623091;303615;69922;135244;65200;573981;304444;71730;137004;58682;571860;"FE";"France"
"10/12/2020";317568;84612;157174;65847;625201;304534;70131;135687;65387;575739;305257;71948;137422;58851;573478;"FE";"France"
"11/12/2020";318669;84920;157756;66056;627401;305416;70374;136086;65581;577457;306109;72150;137838;59045;575142;"FE";"France"
"12/12/2020";319718;85216;158312;66238;629484;306342;70610;136534;65805;579291;307026;72363;138271;59223;576883;"FE";"France"
"13/12/2020";320711;85516;158861;66405;631493;307319;70838;136975;66023;581155;307903;72567;138656;59418;578544;"FE";"France"
"14/12/2020";321737;85795;159487;66578;633597;308269;71101;137384;66221;582975;308700;72768;139087;59631;580186;"FE";"France"
"15/12/2020";322792;86105;160054;66758;635709;309122;71310;137801;66441;584674;309585;72952;139483;59834;581854;"FE";"France"
"16/12/2020";323834;86403;160616;66936;637789;309958;71546;138215;66665;586384;310481;73157;139924;60042;583604;"FE";"France"
"17/12/2020";324805;86715;161095;67137;639752;310944;71784;138657;66846;588231;311349;73365;140403;60256;585373;"FE";"France"
"18/12/2020";325817;86978;161626;67333;641754;311890;72013;139099;67058;590060;312305;73583;140819;60441;587148;"FE";"France"
"19/12/2020";326803;87251;162112;67499;643665;312824;72245;139528;67275;591872;313219;73818;141257;60649;588943;"FE";"France"
"20/12/2020";327831;87535;162630;67657;645653;313805;72452;139968;67487;593712;314114;74041;141696;60858;590709;"FE";"France"
"21/12/2020";328831;87801;163127;67811;647570;314757;72678;140389;67694;595518;315015;74279;142114;61048;592456;"FE";"France"
"22/12/2020";329874;88109;163652;67976;649611;315653;72898;140850;67899;597300;315914;74496;142505;61247;594162;"FE";"France"
"23/12/2020";330947;88387;164141;68139;651614;316559;73114;141321;68092;599086;316777;74727;142942;61435;595881;"FE";"France"
"24/12/2020";331960;88665;164654;68308;653587;317483;73338;141764;68273;600858;317669;74960;143371;61600;597600;"FE";"France"
"25/12/2020";332922;88930;165192;68437;655481;318371;73558;142193;68476;602598;318539;75163;143796;61797;599295;"FE";"France"
"26/12/2020";333931;89214;165711;68587;657443;319278;73782;142650;68688;604398;319396;75384;144236;61998;601014;"FE";"France"
"27/12/2020";334968;89470;166241;68751;659430;320222;73990;143101;68899;606212;320315;75596;144679;62198;602788;"FE";"France"
"28/12/2020";336046;89764;166817;68906;661533;321152;74236;143535;69115;608038;321310;75807;145104;62401;604622;"FE";"France"
"29/12/2020";337102;90050;167310;69055;663517;322065;74433;143937;69304;609739;322196;76017;145534;62597;606344;"FE";"France"
"30/12/2020";338175;90310;167772;69216;665473;323023;74698;144391;69511;611623;323054;76257;145979;62793;608083;"FE";"France"
"31/12/2020";339178;90561;168222;69360;667321;323969;74940;144810;69703;613422;324002;76500;146438;63006;609946;"FE";"France"
